"district"	"ENROLL_TOTAL"	"ENROLL_MEAN"	"GR_Kto5_TOTAL"	"GR_Kto5_MEAN"	"GR_6to8_TOTAL"	"GR_6to8_MEAN"	"GR_9to12_TOTAL"	"GR_9to12_MEAN"	"YEAR"
"231"	63479	2596	40.5625	1709	26.703125	887	13.859375	0	0	1998
"232"	63487	224	28	137	17.125	87	10.875	0	0	1998
"233"	63503	6195	52.9487179487179	4196	35.8632478632479	1999	17.0854700854701	0	0	1998
"234"	63529	27678	117.778723404255	0	0	0	0	25900	110.212765957447	1998
"235"	63545	1129	35.28125	756	23.625	373	11.65625	0	0	1998
"236"	63552	793	30.5	571	21.9615384615385	222	8.53846153846154	0	0	1998
"237"	63560	2688	81.4545454545455	1865	56.5151515151515	823	24.9393939393939	0	0	1998
"238"	63578	2471	98.84	1734	69.36	737	29.48	0	0	1998
"239"	63586	68	9.71428571428571	40	5.71428571428571	28	4	0	0	1998
"240"	63594	491	70.1428571428571	356	50.8571428571429	135	19.2857142857143	0	0	1998
"241"	63610	224	44.8	141	28.2	83	16.6	0	0	1998
"242"	63628	408	37.0909090909091	206	18.7272727272727	96	8.72727272727273	106	9.63636363636364	1998
"243"	63651	58	14.5	34	8.5	24	6	0	0	1998
"244"	63669	119	17	84	12	35	5	0	0	1998
"245"	63677	2668	31.3882352941176	1287	15.1411764705882	612	7.2	707	8.31764705882353	1998
"246"	63685	2506	29.4823529411765	1328	15.6235294117647	533	6.27058823529412	634	7.45882352941176	1998
"247"	63693	1349	48.1785714285714	830	29.6428571428571	508	18.1428571428571	0	0	1998
"248"	63719	146	18.25	113	14.125	33	4.125	0	0	1998
"249"	63750	3548	46.0779220779221	2306	29.9480519480519	1225	15.9090909090909	0	0	1998
"250"	63768	258	43	178	29.6666666666667	80	13.3333333333333	0	0	1998
"251"	63776	3292	45.7222222222222	1623	22.5416666666667	779	10.8194444444444	890	12.3611111111111	1998
"252"	63784	382	47.75	252	31.5	130	16.25	0	0	1998
"253"	63792	2621	68.9736842105263	1706	44.8947368421053	818	21.5263157894737	0	0	1998
"254"	63800	2141	35.6833333333333	1459	24.3166666666667	643	10.7166666666667	0	0	1998
